dst_port,dgmlen,iplen,src
,68,69632,134.119.193.57
,68,69632,80.211.226.193
,68,69632,134.119.193.57
,68,69632,134.119.193.57
22,116,118784,95.156.31.74
22,120,122880,125.65.42.183
22,120,122880,125.65.42.184
22,40,40960,125.65.42.184
22,120,122880,61.184.247.6
22,116,118784,103.216.60.85
,68,69632,80.211.226.193
,68,69632,80.211.226.193
34563,40,40960,108.61.69.68
,68,69632,80.211.173.234
22,120,122880,115.238.245.14
22,120,122880,118.123.15.142
22,40,40960,118.123.15.142
,68,69632,134.119.193.57
22,120,122880,125.65.42.182
22,40,40960,125.65.42.182
,68,69632,134.119.193.57
,68,69632,217.61.7.232
22,120,122880,122.226.181.165
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,80.211.173.234
,68,69632,134.119.193.57
22,120,122880,125.65.42.183
,68,69632,217.61.7.232
,68,69632,134.119.193.57
,68,69632,217.61.7.232
22,120,122880,125.65.42.183
,68,69632,134.119.193.57
,68,69632,80.211.226.193
,68,69632,134.119.193.57
22,120,122880,125.65.42.183
22,120,122880,125.65.42.184
22,120,122880,125.65.42.86
,68,69632,134.119.193.57
,68,69632,134.119.193.57
22,120,122880,125.65.42.183
22,120,122880,61.184.247.5
22,120,122880,122.226.181.167
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,80.211.173.234
,68,69632,80.211.226.193
,68,69632,217.61.7.232
,68,69632,134.119.193.57
,68,69632,80.211.226.193
,68,69632,80.211.226.193
22,116,118784,37.59.9.162
54575,85,87040,172.31.0.2
39896,85,87040,172.31.0.2
,68,69632,134.119.193.57
,68,69632,134.119.193.57
22,120,122880,125.65.42.183
22,120,122880,122.226.181.167
,68,69632,134.119.193.57
22,120,122880,125.65.42.178
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,217.61.7.232
,68,69632,134.119.193.57
,68,69632,134.119.193.57
22,120,122880,118.123.15.142
22,116,118784,95.156.31.74
22,120,122880,118.123.15.142
,68,69632,80.211.173.234
22,120,122880,125.65.42.184
22,120,122880,125.65.42.86
,68,69632,134.119.193.57
,68,69632,217.61.7.232
,68,69632,134.119.193.57
22,120,122880,125.65.42.86
22,120,122880,125.65.42.86
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,80.211.226.193
,68,69632,134.119.193.57
22,120,122880,125.65.42.184
22,120,122880,61.184.247.8
22,120,122880,61.184.247.8
,68,69632,134.119.193.57
22,120,122880,115.238.245.4
22,120,122880,61.184.247.4
,68,69632,134.119.193.57
,68,69632,80.211.173.234
,68,69632,217.61.7.232
22,120,122880,115.238.245.4
22,120,122880,115.238.245.8
,68,69632,134.119.193.57
22,120,122880,115.238.245.8
,68,69632,134.119.193.57
22,116,118784,128.199.227.87
22,120,122880,115.238.245.2
22,120,122880,125.65.42.86
22,120,122880,61.184.247.8
,68,69632,134.119.193.57
22,120,122880,61.184.247.8
22,120,122880,115.238.245.8
22,120,122880,61.184.247.3
22,120,122880,125.65.42.182
22,120,122880,115.238.245.4
22,104,106496,118.123.15.210
22,120,122880,61.184.247.7
22,120,122880,115.238.245.2
22,120,122880,115.238.245.4
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,217.61.7.232
22,120,122880,115.238.245.4
,68,69632,80.211.173.234
22,120,122880,61.184.247.10
,68,69632,134.119.193.57
22,120,122880,115.238.245.8
,68,69632,134.119.193.57
,68,69632,134.119.193.57
22,120,122880,115.238.245.2
